Software,Version Info
onnx,"aces: 1.15.0
faster: 1.11.0"
onnx-runtime,"aces: 1.16.3
faster: 1.10.0-CUDA-11.3.1, 1.10.0"
opari2,aces: 2.0.7
osu-micro-benchmarks,"aces: 7.1-1
delta: 7.3
expanse: buyli2f, ...
faster: 5.7.1-CUDA-11.3.1, 5.9-CUDA-11.3.1, 5.9"
otf2,aces: 3.0.3
openblas,"aces: 0.3.12, 0.3.15, 0.3.18, 0.3.20, 0.3.21, 0.3.23, 0.3.24
anvil: 0.3.17
bridges-2: 0.3.12-gcc10.2.0, 0.3.13-intel20.4
delta: 0.3.25, 0.3.26+openmp
expanse: fgk2tlu, lsmegf6, ...
faster: 0.3.1, 0.3.7, 0.3.12, 0.3.15, 0.3.18, 0.3.20, 0.3.21, 0.3.23, 0.3.24"
openbabel,"aces: 3.1.1
expanse: 3.0.0
faster: 3.1.1"
opencv,"aces: 4.6.0-contrib, 4.6.0-CUDA-11.7.0-contrib
bridges-2: 4.2.0
delta: 4.9.0.x86_64
faster: 4.5.5-contrib, 4.6.0-CUDA-11.7.0-contrib"
openexr,"aces: 3.1.5, 3.1.7
faster: 2.5.5, 3.0.1, 3.1.1, 3.1.5, 3.1.7"
openfoam,"aces: v2206, v2312, 10
anvil: 8-20210316
bridges-2: 6.0
expanse: jz42us2
faster: v2012, v2112, v2206, 8, 10"
openfold,"aces: 1.0.1-CUDA-11.3.1
faster: 1.0.1-CUDA-11.3.1"
openimageio,aces: 2.3.17.0
openjpeg,"aces: 2.4.0, 2.5.0
faster: 2.4.0, 2.5.0"
openmm,"aces: 7.5.1-DeepMind-patch, 7.7.0, 8.0.0-CUDA-11.7.0, 8.0.0-CUDA-11.8.0, 8.0.0
faster: 7.5.0-Python-3.8.2, 7.5.1-DeepMind-patch, 7.7.0"
openmpi,"aces: nostub-4.1.4, 4.0.5, 4.1.1, 4.1.4-CUDA-11.8.0, 4.1.4, 4.1.5, 4.1.6
anvil: 3.1.6, 4.0.6-cu11.0.3, 4.0.6
bridges-2: 3.1.5-nvhpc21.2, 3.1.5-nvhpc21.7, ...
delta: 4.1.5+cuda, 4.1.6, 5.0.1+cuda, ...
expanse: 4.1.5a1
faster: 3.1.1, 3.1.4, 4.0.3, 4.0.5, 4.1.1, 4.1.2, 4.1.3, 4.1.4-CUDA-11.8.0, 4.1.4, ..."
openpgm,"aces: 5.2.122
faster: 5.2.122"
openssl,"aces: 1.1, 1.1.1q, 3.1.5
faster: 1.1, 1.1.1d, 1.1.1e, 1.1.1h, 1.1.1k, 1.1.1n"
openscenegraph,aces: 3.6.5
opensubdiv,aces: 3.6.0
optuna,"aces: 3.1.0
faster: 2.9.1, 2.10.0"
papi,"aces: 7.0.1
anvil: 6.0.0.1
delta: 7.0.1.1
expanse: a6f2xfv, dlskqjh, ...
faster: 7.0.1
kyric: 5.7.0"
pcre,"aces: 8.44, 8.45
faster: 8.43, 8.44, 8.45"
pcre2,"aces: 10.36, 10.37, 10.40, 10.42
faster: 10.34, 10.35, 10.36, 10.37, 10.40, 10.42"
pdal,"aces: 2.4.3, 2.6.0
faster: 2.6.0"
pdt,aces: 3.25.1
petsc,"aces: 3.17.4, 3.19.2, 3.19.2-64bit, 20231020-CUDA-11.8.0, 20231023-CUDA-11.8.0, 20231110-CUDA-11.8.0
anvil: 3.15.3
delta: 3.13.6, 3.20.1
expanse: ax5r6e3, hptjh65-omp, ...
faster: 3.6.2-Python-2.7.16, 3.12.4-Python-3.7.4, 3.15.1, 3.18.4"
plumed,"aces: 2.7.2, 2.7.3, 2.8.0, 2.8.1, 2.9.0
bridges-2: 2.6.2
expanse: fxev5vk, gbcpghx, ...
faster: 2.6.0-Python-3.8.2, 2.7.0, 2.7.2, 2.7.3, 2.8.0, 2.8.1, 2.9.0"
pmix,"aces: 3.1.5, 3.2.3, 4.1.0, 4.1.2, 4.2.2, 4.2.4, 4.2.5, 4.2.6, 5.0.1
faster: 3.1.5, 3.2.3, 4.1.0, 4.1.1, 4.1.2, 4.2.2, 4.2.4, 4.2.6
kyric: 3.1.4"
pov-ray,"aces: 3.7.0.10
faster: 3.7.0.8, 3.7.0.10"
prank,"aces: 170427
faster: 170427"
proj,"aces: 7.2.1, 8.0.1, 8.1.0, 9.0.0, 9.1.1, 9.2.0
anvil: 5.2.0, 6.2.0
delta: 9.2.1
faster: 7.0.0, 7.2.1, 8.0.1, 8.1.0, 9.0.0, 9.1.1, 9.2.0"
prrte,aces: 3.0.2
pythia,aces: 8.309
padicotm,aces: 20220531
pango,"aces: 1.48.5, 1.48.8, 1.50.7, 1.50.12, 1.50.14
faster: 1.44.7, 1.47.0, 1.48.5, 1.48.8, 1.50.7, 1.50.12, 1.50.14"
parmetis,"aces: 4.0.3
delta: 4.0.3
expanse: efd2nv3, fftjkx6, ...
faster: 4.0.3"
parafold,aces: 2.0-CUDA-11.8.0
paraview,"aces: 5.11.1-MPI-Linux64, 5.12.0-MPI-Linux64
anvil: 5.9.1, 5.10.1
delta: 5.10.0gui, 5.11.2.egl.cuda, ...
expanse: tsz7a6r
faster: 5.8.0-Python-3.8.2-mpi, 5.8.1-mpi, 5.9.1-mpi, 5.10.1-mpi, 5.11.0-mpi-cuda"
parabricks,"aces: 4.1.1
anvil: 4.0.0-1
faster: 4.0.1"
perl,"aces: 5.32.0-minimal, 5.32.0, 5.32.1-minimal, 5.32.1, 5.34.0-minimal, 5.34.0, 5.34.1-minimal, 5.34.1, 5.36.0-minimal, ...
expanse: aqkfsad, cofhaae
faster: 5.28.0, 5.30.0-minimal, 5.30.0, 5.30.2-minimal, 5.30.2, 5.32.0-minimal, 5.32.0, 5.32.1-minimal, 5.32.1, ..."
perl-bundle-cpan,"aces: 5.36.1
faster: 5.36.1"
perl-bundle1-cpan,"aces: 5.36.1
faster: 5.36.1"
perl-bundle2-cpan,aces: 5.36.1
pillow,"aces: 8.0.1, 8.2.0, 8.3.2, 9.1.1, 9.4.0, 10.0.0
faster: 6.2.1, 7.0.0-Python-3.8.2, 8.0.1, 8.2.0, 8.3.1, 8.3.2, 9.1.1, 9.4.0, 10.0.0"
pillow-simd,"aces: 9.2.0
faster: 7.1.2, 8.2.0"
pnetcdf,"aces: 1.12.3
faster: 1.12.2, 1.12.3"
postgresql,"aces: 13.4, 15.2
faster: 12.4, 13.4"
ptex,aces: 2.4.2
puk,aces: 20220531
pukabi,aces: 20220531
pycuda,"aces: 2022.2.2-CUDA-11.8.0
faster: 2021.1"
pycairo,"aces: 1.21.0
faster: 1.21.0"
pyfr,"aces: 1.15.0-Python-3.11.5-CUDA-11.8.0, 2.0.0"
pygobject,"aces: 3.42.1
faster: 3.42.1"
pyopengl,"aces: 3.1.6, 3.1.7
faster: 3.1.6"
pyqt5,"aces: 5.15.4
faster: 5.15.4"
pytensor,aces: 2.17.1
pytorch,"aces: 1.10.0-CUDA-11.3.1, 1.12.0-CUDA-11.7.0, 1.12.0, 1.12.1-CUDA-11.3.1, 1.12.1-CUDA-11.7.0, 1.13.1-CUDA-11.7.0, ...
anvil: 20.06-py3, 20.11-py3, 20.12-py3, 21.06-py3, 21.09-py3
faster: 1.7.1, 1.8.1, 1.9.0-imkl, 1.9.0, 1.10.0-CUDA-11.3.1, 1.10.0, 1.12.1-CUDA-11.3.1, 1.12.1, ..."
pytorch-geometric,"aces: 2.1.0-PyTorch-1.12.0-CUDA-11.7.0
faster: 2.0.1-PyTorch-1.9.0"
pytorch-lightning,"aces: 1.7.7-CUDA-11.7.0, 1.8.4
faster: 1.5.9-CUDA-11.3.1, 1.5.9, 1.5.10-CUDA-11.3.1"
pyyaml,"aces: 5.3.1, 5.4.1, 6.0
faster: 5.1.2, 5.3, 5.3.1, 5.4.1, 6.0"
pyzmq,aces: 25.1.1
pysam,"aces: 0.19.1, 0.20.0
anvil: 0.18.0
faster: 0.16.0.1, 0.19.1"
python,"aces: 2.7.18-bare, 2.7.18, 3.8.6, 3.9.5-bare, 3.9.5, 3.9.6-bare, 3.9.6, 3.10.4-bare, 3.10.4, ...
anvil: 3.9.5
bridges-2: 2.7.18, 3.8.6
delta: 3.6.8, 3.7.17, 3.8.18, 3.9.18, ...
expanse: uasyy5n, 7zdjza7
faster: 2.7.15, 2.7.16, 2.7.18-bare, 2.7.18, 3.7.4, 3.8.2, 3.8.6, 3.9.5-bare, 3.9.5, ..."
python-bundle-pypi,"aces: 2023.06, 2023.10
faster: 2023.06"
qca,"aces: 2.3.5
faster: 2.3.5"
qgis,"aces: 3.28.1
faster: 3.28.1"
qiime2,"aces: 2022.11
anvil: 2021.2, 2022.2, 2022.8, 2022.11, 2023.2, 2023.5, 2023.7
faster: 2022.8"
qjson,aces: 0.9.0
qscintilla,"aces: 2.11.6
faster: 2.11.6"
qhull,"aces: 2020.2
expanse: d7f45v7
faster: 2020.2"
qt5,"aces: 5.15.2, 5.15.5, 5.15.7, 5.15.10
faster: 5.14.1, 5.14.2, 5.15.2, 5.15.5, 5.15.7"
qt5webkit,"aces: 5.212.0-alpha4
faster: 5.212.0-alpha4"
qtkeychain,"aces: 0.13.2
faster: 0.13.2, 0.14.2"
quantumespresso,"aces: 7.1, 7.2
bridges-2: 6.7-pgi, 6.7-intel-omp, ...
faster: 6.8"
qwt,"aces: 6.2.0
faster: 6.1.5, 6.2.0"
r,"aces: 4.1.0, 4.2.0, 4.2.1-stub, 4.2.1, 4.2.2, 4.3.1
anvil: 4.0.5, 4.1.0, 4.1.1
delta: 4.3.2
expanse: x5at72y
faster: 3.6.3, 4.0.0, 4.0.5, 4.1.0, 4.1.2, 4.2.0, 4.2.1, 4.3.1
jetstream: 4.2.2"
rapids,aces: 23.08
rdflib,"aces: 5.0.0, 6.2.0
faster: 5.0.0, 6.2.0"
rdkit,aces: 2022.09.4
re2,"aces: 2023-11-01
faster: 2023-11-01"
root,"aces: 6.26.06, 6.26.10
faster: 6.14.06, 6.26.06"
r_tamu,"aces: 4.2.2
faster: 4.1.2-foss-2021b, 4.2.1, 4.3.1"
rapidjson,"aces: 1.1.0, 1.1.0-20230928
faster: 1.1.0"
ray-project,"aces: 2.2.0, 2.6.2
faster: 2.2.0, 2.6.2"
reframe,aces: 4.0.5
redis,"aces: 7.0.8
faster: 6.2.6, 7.0.8"
ruby,"aces: 3.0.1, 3.0.3
faster: 3.0.1, 3.0.5"
rust,"aces: 1.52.1, 1.54.0, 1.60.0, 1.65.0, 1.70.0, 1.73.0, 1.75.0
delta: 1.75.0
faster: 1.52.1, 1.54.0, 1.60.0, 1.65.0, 1.70.0"
samtools,"aces: 1.14, 1.16.1, 1.17
anvil: 1.9, 1.12, 1.15, 1.16, 1.17
bridges-2: 1.11.0, 1.13.0
expanse: 2cnwok7
faster: 1.10, 1.12, 1.13, 1.14, 1.16.1"
scotch,"aces: 6.1.2, 7.0.1, 7.0.3
expanse: fekh6xf, lkjq2h6, ...
faster: 6.0.9, 6.1.0, 6.1.2, 7.0.1, 7.0.3"
scons,"aces: 4.4.0
faster: 4.2.0, 4.4.0"
sdl2,"aces: 2.0.20, 2.0.22, 2.26.3, 2.28.2
faster: 2.0.10, 2.0.14, 2.0.20, 2.0.22, 2.26.2, 2.26.3, 2.28.2"
shap,aces: 0.41.0
sionlib,"aces: 1.7.7-tools, 1.7.7
kyric: 1.7.4"
slepc,"aces: 3.17.2
expanse: ctca32t-cmplx, jipvkmf, ...
faster: 3.12.2-Python-3.7.4"
spades,"aces: 3.15.5
anvil: 3.15.3, 3.15.4, 3.15.5
bridges-2: 3.14.1
expanse: x4n57dc
faster: 3.15.3"
sqlite,"aces: 3.33.0, 3.35.4, 3.36, 3.38.3, 3.39.4, 3.42.0, 3.43.1, 3.44.0
delta: 3.26.0, 3.43.2
expanse: fxmvvsx, uqy7ybg
faster: 3.24.0, 3.29.0, 3.31.1, 3.33.0, 3.35.4, 3.36, 3.38.3, 3.39.4, 3.42.0, 3.43.1"
sra-toolkit,"aces: 3.0.3
bridges-2: 2.10.9
faster: 3.0.0-centos_linux64, 3.0.3"
star,"aces: 2.7.2b
anvil: 2.7.9a, 2.7.10a, 2.7.10b
bridges-2: 2.7.6a, 2.7.10b
expanse: qc5or7l
faster: 2.7.10b"
sundials,"aces: 6.3.0
faster: 5.7.0, 6.3.0"
swig,"aces: 4.0.2, 4.1.1
anvil: 4.0.2
faster: 4.0.1, 4.0.2, 4.1.1"
scafacos,"aces: 1.0.1, 1.0.4
faster: 1.0.1"
scalapack,"aces: 2.1.0-fb, 2.1.0, 2.2.0-fb
bridges-2: 2.1.0
faster: 2.0.2-OpenBLAS-0.3.1, 2.0.2, 2.1.0-bf, 2.1.0-fb, 2.1.0, 2.2.0-fb"
scalasca,"aces: 2.6.1
kyric: 2.5"
scipy-bundle,"aces: 2020.11, 2021.05, 2021.10, 2022.05, 2023.02, 2023.07, ...
faster: 2019.10-Python-2.7.16, 2019.10-Python-3.7.4, 2020.03-Python-3.8.2, 2020.11, 2021.05, ..."
score-p,aces: 8.3
sentencepiece,aces: 0.1.97
serf,"aces: 1.3.9
faster: 1.3.9"
shapely,"aces: 1.8.2, 2.0.1
faster: 1.7.1-Python-3.8.2, 1.8a1, 1.8.2, 2.0.1"
starpu,aces: 1.3.11
subversion,"aces: 1.14.2
delta: 1.14.2
expanse: hrxrs2j, qpzq6zs
faster: 1.14.1, 1.14.2"
suitesparse,"aces: 5.13.0-METIS-5.1.0
faster: 5.6.0-METIS-5.1.0, 5.8.1-METIS-5.1.0, 5.10.1-METIS-5.1.0-CUDA-11.3.1, 5.10.1-METIS-5.1.0, ..."
superlu_dist,"aces: 8.1.0, 8.1.2
faster: 8.1.0, 8.1.2"
szip,"aces: 2.1.1
faster: 2.1.1"
tcl,"aces: 8.6.10, 8.6.11, 8.6.12, 8.6.13
anvil: 8.6.11
delta: 8.5.19, 8.6.12
expanse: e3gh7it, kysl7po
faster: 8.6.8, 8.6.9, 8.6.10, 8.6.11, 8.6.12, 8.6.13"
tensorflow,"aces: 2.5.0, 2.5.3-CUDA-11.3.1, 2.6.0-CUDA-11.3.1, 2.7.1-CUDA-11.4.1, 2.8.4, ...
anvil: 20.06-tf1-py3, 20.06-tf2-py3, 20.11-tf1-py3, 20.11-tf2-py3, 20.12-tf1-py3, ...
faster: 1.15.2-Python-3.7.4, 2.1.0-Python-3.7.4, 2.2.0-Python-3.7.4, 2.3.1-Python-3.8.2, 2.4.1, ..."
tensorrt,"aces: 8.6.0.12-CUDA-11, 8.6.0.12-CUDA-12, 8.6.1.6-CUDA-11, 8.6.1.6-CUDA-12
faster: 8.6.0.12-CUDA-11, 8.6.0.12-CUDA-12"
theano,"aces: 1.1.2-PyMC
faster: 1.1.2-PyMC"
tk,"aces: 8.6.10, 8.6.11, 8.6.12, 8.6.13
anvil: 8.6.11
delta: 8.6.11
faster: 8.6.9, 8.6.10, 8.6.11, 8.6.12, 8.6.13"
tkinter,"aces: 3.8.6, 3.9.6, 3.10.4, 3.10.8, 3.11.3
faster: 3.7.4, 3.8.2, 3.8.6, 3.9.5, 3.9.6, 3.10.4, 3.10.8, 3.11.3"
trilinos,aces: 13.4.1
trim_galore,"aces: 0.6.10
faster: 0.6.10"
twisted,"aces: 22.4.0
faster: 22.4.0"
ucc,"aces: 1.0.0, 1.1.0, 1.2.0
faster: 1.0.0, 1.1.0, 1.2.0"
ucc-cuda,"aces: 1.0.0-CUDA-11.7.0, 1.1.0-CUDA-12.0.0
faster: 1.0.0-CUDA-11.7.0"
ucx,"aces: 1.9.0-CUDA-11.1.1, 1.9.0, 1.10.0, 1.11.2, 1.12.1, 1.13.1, 1.14.0, 1.14.1, 1.15.0-rc4, 1.15.0
anvil: 1.11.2
bridges-2: 1.11.2
expanse: dn4rrrk, dnpjjuc, fkguskk, ...
faster: 1.8.0-CUDA-11.0.2, 1.8.0, 1.9.0-CUDA-11.1.1, 1.9.0, 1.10.0, 1.11.0, 1.11.2, 1.12.1, 1.13.1, 1.14.1, 1.15.0-rc4, ...
kyric: 1.8.0"
ucx-cuda,"aces: 1.10.0-CUDA-11.3.1, 1.11.2-CUDA-11.4.1, 1.12.1-CUDA-11.7.0, 1.12.1-CUDA-11.8.0, 1.12.1-CUDA-12.2.0, ...
faster: 1.10.0-CUDA-11.3.1, 1.11.0-CUDA-11.4.1, 1.11.2-CUDA-11.4.1, 1.12.1-CUDA-11.7.0, 1.13.1-CUDA-11.8.0, ..."
udunits,"aces: 2.2.26, 2.2.28
faster: 2.2.26, 2.2.28"
unzip,"aces: 6.0
faster: 6.0"
vesta,aces: 3.5.8-gtk3
vmd,"aces: 1.9.4a57
anvil: 1.9.3
expanse: dv3ueqt
faster: 1.9.4a51, 1.9.4a57"
vscode,"aces: 1.85.0
anvil: 1.61.2"
vtk,"aces: 9.0.1, 9.1.0, 9.2.2, 9.2.6, 9.3.0
anvil: 9.0.0
faster: 8.2.0-Python-3.7.4, 8.2.0-Python-3.8.2, 9.0.1, 9.1.0"
vtune,"aces: 2022.3.0
faster: 2022.2.0
kyric: latest, 2021.1.1"
valgrind,"aces: 3.21.0
anvil: 3.15.0
expanse: aejew5q, afwnccb, ...
kyric: 3.15.0"
voro++,"aces: 0.4.6
faster: 0.4.6"
vulkansdk,"aces: 1.3.239.0
faster: 1.2.189.0, 1.3.236.0, 1.3.250.1, 1.3.261.1"
wrf,"aces: 4.4-dmpar, 4.4.1-dmpar
expanse: rsznbfe, 5hf6hqj
faster: 3.9.1.1-dmpar, 4.3-dmpar, 4.3-smpar, 4.3.3-dmpar"
wayland,"aces: 1.20.0, 1.21.0, 1.22.0
faster: 1.21.0, 1.22.0"
waylandpp,"aces: 1.0.0
faster: 1.0.0"
webkitgtk+,"aces: 2.37.1
faster: 2.37.1"
webproxy,"aces: 0000
faster: 0000"
x11,"aces: 20201008, 20210518, 20210802, 20220504, 20221110, 20230603
faster: 20190717, 20200222, 20201008, 20210518, 20210802, 20220504, 20221110, 20230603"
xgboost,aces: 1.7.2
xml-libxml,"aces: 2.0207, 2.0208
faster: 2.0201, 2.0206, 2.0207"
xz,"aces: 5.2.5, 5.2.7, 5.4.2, 5.4.4
delta: 5.2.0
expanse: 5.2.5
faster: 5.2.4, 5.2.5, 5.2.7, 5.4.2, 5.4.4"
xerces-c++,"aces: 3.2.4
faster: 3.2.4"
xvfb,"aces: 1.20.11, 1.20.13, 21.1.3, 21.1.6
faster: 1.20.9, 1.20.11, 1.20.13, 21.1.3, 21.1.6"
yacs,"aces: 0.1.8
faster: 0.1.8"
yasm,"aces: 1.3.0
faster: 1.3.0"
z3,"aces: 4.10.2-Python-3.10.4, 4.10.2, 4.12.2-Python-3.11.3, 4.12.2
faster: 4.8.10, 4.8.12, 4.8.16, 4.10.2-Python-3.10.4, 4.12.2-Python-3.11.3, 4.12.2"
zeromq,"aces: 4.3.4
faster: 4.3.2, 4.3.3, 4.3.4"
zip,"aces: 3.0
faster: 3.0"
aiohttp,"aces: 3.8.3, 3.8.5
faster: 3.8.1"
ant,"aces: 1.10.11-Java-11, 1.10.12-Java-11
expanse: hcgc7fk, 5soub24
faster: 1.10.5-Java-1.8, 1.10.9-Java-11, 1.10.11-Java-11, 1.10.12-Java-11"
archspec,"aces: 0.1.2, 0.1.3, 0.1.4, 0.2.0
faster: 0.1.0-Python-3.8.2, 0.1.0-Python-3.8.6, 0.1.3"
arm-gnu-toolchain,aces: 12.3
arm-gnu-toolchaint,aces: 12.3
arpack-ng,"aces: 3.8.0, 3.9.0
anvil: 3.8.0
expanse: bbylirn, ccwydfp, ...
faster: 3.8.0, 3.9.0"
assimp,aces: 5.2.5
at-spi2-atk,"aces: 2.38.0
faster: 2.34.1, 2.38.0"
at-spi2-core,"aces: 2.40.3, 2.44.1, 2.46.0, 2.49.91
faster: 2.34.0, 2.38.0, 2.40.3, 2.44.1, 2.46.0, 2.49.91"
attrdict3,"aces: 2.0.2
faster: 2.0.2"
binutils,"aces: 2.32, 2.35, 2.36.1, 2.37, 2.38, 2.39, 2.40
faster: 2.28, 2.30, 2.31.1, 2.32, 2.34, 2.35, 2.36.1, 2.37, 2.38, 2.39, ..."
bokeh,"aces: 2.4.1, 2.4.2, 2.4.3
faster: 1.4.0-Python-3.7.4, 2.0.2-Python-3.8.2, 2.2.3, 2.4.2, 2.4.3"
bzip2,"aces: 1.0.8
expanse: 1.0.8
faster: 1.0.6, 1.0.8"
c-ares,"aces: 1.18.1
faster: 1.17.2, 1.18.1"
curl,"aces: 7.72.0, 7.76.0, 7.78.0, 7.83.0, 7.86.0, 8.0.1, 8.3.0
anvil: 7.76.1
expanse: 7.72.0
faster: 7.60.0, 7.66.0, 7.69.1, 7.72.0, 7.76.0, 7.78.0, 7.83.0, 7.86.0, 8.0.1, 8.3.0"
cairo,"aces: 1.16.0, 1.17.4, 1.17.8
faster: 1.16.0, 1.17.4, 1.17.8"
capstone,"aces: 5.0.1
faster: 5.0.1"
captum,aces: 0.5.0
ccache,"aces: 4.6.1, 4.6.3
faster: 4.6.1"
cdsapi,aces: 0.5.1
cffi,"aces: 1.15.1
faster: 1.15.1"
charliecloud,"aces: 0.33
faster: 0.31, 0.33"
chemprop,aces: 1.5.2-CUDA-11.7.0
cimfomfa,aces: 22.273
cistem,"aces: 1.0.0-beta-Linux64
faster: 1.0.0-beta"
ckdmip,aces: 1.0
cppy,"aces: 1.1.0, 1.2.1
faster: 1.1.0, 1.2.1"
cryptography,"aces: 41.0.1, 41.0.4, 41.0.5
faster: 41.0.1"
cudf,"aces: 23.04.0, 23.08.00
faster: 23.04.0"
cudnn,"aces: 8.0.4.30-CUDA-11.1.1, 8.2.1.32-CUDA-11.3.1, 8.2.2.26-CUDA-11.4.1, 8.4.1.50-CUDA-11.7.0, 8.6.0.163-CUDA-11.8.0, ...
anvil: cuda-11.0_8.0, cuda-11.2_8.1, cuda-11.4_8.2, cuda-12.0_8.8
bridges-2: 8.0.4
delta: 8.4.1.50, 8.9.0.131
expanse: tdvkbaf, ...
faster: 7.6.4.38, 8.0.4.30-CUDA-11.0.2, 8.0.4.30-CUDA-11.1.1, 8.1.0.77-CUDA-11.2.2, 8.2.1.32-CUDA-11.3.1, 8.2.2.26-CUDA-11.4.1, ..."
cusparselt,"aces: 0.5.0.1-CUDA-12.2.2
faster: 0.3.0.3-CUDA-11.4.1"
cutensor,"aces: 1.6.1.5-CUDA-11.4.1, 1.6.1.5-CUDA-11.7.0, 1.7.0.1-CUDA-12.0.0
delta: 1.5.0.3
faster: 1.6.1.5-CUDA-11.4.1, 1.6.1.5-CUDA-11.7.0"
cutadapt,"aces: 3.5
anvil: 2.10, 3.4, 3.7
bridges-2: 2.10
faster: 3.4, 3.5"
cython-blis,aces: 0.9.1
dask,"aces: 2021.9.1, 2022.1.0, 2022.10.0
faster: 2.8.0-Python-3.7.4, 2.18.1-Python-3.8.2, 2021.2.0, 2022.1.0, 2022.7.0, 2022.10.0"
dbus-glib,"aces: 0.112
faster: 0.112"
deepdiff,"aces: 5.8.1, 6.7.1"
dill,"aces: 0.3.4, 0.3.6, 0.3.7
faster: 0.3.4, 0.3.6, 0.3.7"
dm-tree,"aces: 0.1.6, 0.1.8
faster: 0.1.5, 0.1.6, 0.1.8"
docker-user,aces: 202311
double-conversion,"aces: 3.1.5, 3.2.0, 3.2.1, 3.3.0
faster: 3.1.4, 3.1.5, 3.2.0, 3.2.1, 3.3.0"
ecbuild,"aces: 3.7.0, 3.8.0
faster: 3.7.0, 3.8.0"
eccodes,"aces: 2.24.2, 2.27.0, 2.31.0
faster: 2.22.1, 2.24.2"
einops,"aces: 0.4.1
faster: 0.3.2, 0.4.1, 0.6.0"
elfutils,"aces: 0.187, 0.189
faster: 0.182, 0.185, 0.187, 0.189"
enchant-2,"aces: 2.3.3
faster: 2.3.3"
exiv2,"aces: 0.27.5
faster: 0.27.5"
expat,"aces: 2.2.9, 2.4.1, 2.4.8, 2.4.9, 2.5.0
faster: 2.2.5, 2.2.7, 2.2.9, 2.4.1, 2.4.8, 2.4.9, 2.5.0"
expecttest,"aces: 0.1.3, 0.1.5
faster: 0.1.3, 0.1.5"
eztrace,aces: 2.1
fastai,aces: 2.7.10
ffnvcodec,"aces: 11.1.5.2, 12.0.16.0
faster: 11.1.5.2, 12.0.16.0"
file,"aces: 5.43
faster: 5.38, 5.43"
flatbuffers,"aces: 1.12.0, 2.0.0, 2.0.7, 23.1.4, 23.5.26
faster: 1.12.0, 2.0.0, 2.0.7, 23.1.4"
flatbuffers-python,"aces: 1.12, 2.0, 23.1.4, 23.5.26
faster: 1.12, 2.0, 23.1.4"
flex,"aces: 2.6.4
faster: 2.6.3, 2.6.4"
flit,"aces: 3.9.0
faster: 3.9.0"
fontconfig,"aces: 2.13.92, 2.13.93, 2.13.94, 2.14.0, 2.14.1, 2.14.2
faster: 2.13.1, 2.13.92, 2.13.93, 2.13.94, 2.14.0, 2.14.1, 2.14.2"
foss,"aces: 2020b, 2021a, 2021b, 2022a, 2022b, 2023a, 2023b, 2023.09
faster: 2018b, 2019b, 2020a, 2020b, 2021a, 2021b, 2022a, 2022b, 2023a, 2023b"
fosscuda,"aces: 2020b
faster: 2019b, 2020a, 2020b"
freeglut,"aces: 3.2.1, 3.2.2, 3.4.0
faster: 3.2.1, 3.2.2"
freetype,"aces: 2.10.3, 2.10.4, 2.11.0, 2.12.1, 2.13.0
faster: 2.10.1, 2.10.3, 2.10.4, 2.11.0, 2.12.1, 2.13.0"
g2clib,"aces: 1.6.3
faster: 1.6.0"
g2lib,aces: 3.2.0
gc,"aces: 8.2.0, 8.2.4
faster: 7.6.12, 8.2.0, 8.2.4"
gcccuda,"aces: 2020b
faster: 2019b, 2020a, 2020b"
geopandas,"aces: 0.12.2
faster: 0.8.1-Python-3.8.2"
gettext,"aces: 0.21, 0.21.1, 0.22
bridges-2: 0.22.5-gcc13.2.1-p20240113
faster: 0.19.8.1, 0.20.1, 0.21, 0.21.1, 0.22"
gfbf,"aces: 2022a, 2022b, 2023a, 2023b, 2023.09
faster: 2022a, 2022b, 2023a"
giflib,"aces: 5.2.1
faster: 5.2.1"
git,"aces: 2.28.0-nodocs, 2.32.0-nodocs, 2.33.1-nodocs, 2.36.0-nodocs, 2.38.1-nodocs, 2.41.0-nodocs, 2.42.0
delta: 2.39.3
expanse: darghpu, ldetm5y
faster: 2.23.0-nodocs, 2.28.0-nodocs, 2.32.0-nodocs, 2.33.1-nodocs, 2.36.0-nodocs, 2.38.1-nodocs, 2.41.0-nodocs"
git-lfs,"aces: 3.2.0, 3.3.0
delta: 3.3.0
expanse: kmruniy, 32gm6hi
faster: 3.2.0, 3.4.0"
glew,"aces: 2.2.0-egl
faster: 2.2.0-egl, 2.2.0-osmesa"
glib-networking,"aces: 2.72.1
faster: 2.72.1"
gmpy2,"aces: 2.1.2, 2.1.5
faster: 2.1.0b4, 2.1.2, 2.1.5"
gnuplot,"aces: 5.4.4, 5.4.6, 5.4.8
anvil: 5.4.2
delta: 5.4.3
expanse: lfaey6l, mfinpvw
faster: 5.2.8, 5.4.1, 5.4.2, 5.4.4"
gompi,"aces: 2020b, 2021a, 2021b, 2022a, 2022b, 2023a, 2023b, 2023.05, 2023.09
faster: 2018b, 2019b, 2020a, 2020b, 2021a, 2021b, 2022a, 2022b, 2022.05, 2023a, 2023b"
gompic,"aces: 2020b
faster: 2019b, 2020a, 2020b"
googletest,"aces: 1.11.0, 1.12.1, 1.13.0
faster: 1.10.0, 1.11.0, 1.12.1, 1.13.0"
gperf,"aces: 3.1
faster: 3.1"
gperftools,"aces: 2.10, 2.13
faster: 2.12, 2.13, 2.14"
gpustat,"aces: 1.1
faster: 0.6.0, 1.0.0b1, 1.1"
graphite2,"aces: 1.3.14
faster: 1.3.14"
graphviz-python,aces: 0.20.1
groff,"aces: 1.22.4, 1.23.0
faster: 1.22.4"
