Software,Version Info
bedtools,"aces: 2.31.0
anvil: 2.30.0, 2.31.0
bridges-2: 2.29.2, 2.30.0
faster: 2.30.0"
blast+,"aces: 2.13.0, 2.14.1
faster: 2.9.0, 2.12.0, 2.13.0"
blis,"aces: 0.8.1, 0.9.0
anvil: 0.8.1
faster: 0.8.0, 0.8.1, 0.9.0, 2.2-amd, 3.1-amd"
bwa,"aces: 0.7.17
anvil: 0.7.17
bridges-2: 0.7.3a
expanse: 0.7.17
faster: 0.7.17"
bamtools,"aces: 2.5.2
anvil: 2.5.1, 2.5.2
bridges-2: 2.5.1
expanse: 2.5.1
faster: 2.5.2"
bazel,"aces: 3.7.2, 4.2.2, 5.1.1, 6.3.1
bridges-2: 3.7.1
faster: 0.26.1, 0.29.1, 2.0.0, 3.6.0, 3.7.2, 4.2.2, 5.1.1, 6.3.1"
beautifulsoup,"aces: 4.10.0, 4.11.1, 4.12.2
faster: 4.10.0"
bioperl,"aces: 1.7.8
faster: 1.7.2, 1.7.8"
biopython,"aces: 1.79, 1.81, 1.82
anvil: 1.70-np112py27, 1.70-np112py36, 1.78
faster: 1.75-Python-3.7.4, 1.78, 1.79"
bison,"aces: 3.3.2, 3.7.1, 3.7.6, 3.8.2
faster: 3.0.4, 3.0.5, 3.3.2, 3.5.3, 3.7.1, 3.7.6, 3.8.2"
blender,"aces: 3.5.0-linux-x86_64-CUDA-11.7.0
faster: 3.0.0-linux-x64, 3.1.2-linux-x64"
blosc2,"aces: 2.4.3
faster: 2.4.3"
boost,"aces: 1.76.0, 1.77.0, 1.79.0, 1.81.0, 1.82.0, 1.83.0
anvil: 1.74.0
bridges-2: 1.75-gcc10.2.0, 1.75.0-intel20.4
delta: 1.83.0
expanse: bbnd4wn, ckwq57r, ...
faster: 1.71.0, 1.72.0, 1.74.0, 1.76.0, 1.77.0, 1.79.0, 1.81.0, 1.82.0
kyric: 1.73.0"
boost.mpi,aces: 1.79.0
boost.python,"aces: 1.79.0, 1.81.0, 1.83.0
faster: 1.71.0, 1.76.0, 1.77.0, 1.81.0"
brotli,"aces: 1.0.9
faster: 1.0.9"
brotli-python,aces: 1.0.9
brunsli,"aces: 0.1
faster: 0.1"
cd-hit,"aces: 4.8.1
anvil: 4.8.1
faster: 4.8.1"
cdo,"aces: 2.0.5
anvil: 1.9.9
delta: 2.4.0
faster: 1.9.10"
cesm-deps,"aces: 2
faster: 2"
cfitsio,"aces: 4.2.0, 4.3.0
faster: 3.49, 4.2.0, 4.3.0"
cgal,"aces: 4.14.3, 5.6
expanse: axpdrof, jrg6ven, lnidf3a
faster: 4.14.3-Python-3.8.2, 4.14.3, 5.2"
cgns,aces: 4.4.0
clhep,"aces: 2.4.6.2
faster: 2.4.5.1, 2.4.6.4"
clip,aces: 20230220-CUDA-11.7.0
cmake,"aces: 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
anvil: 3.20.0
delta: 3.20.2, 3.27.9
expanse: bpzre3q, rc2aosa, ...
faster: 3.11.4, 3.15.3, 3.16.4, 3.18.4, 3.20.1, 3.21.1, 3.22.1, 3.23.1, 3.24.3, 3.26.3, 3.27.6
kyric: 3.16.2"
cp2k,"aces: 9.1-lib, 9.1, 2022.1-lib, 2022.1, 2023.1-CUDA-11.8.0, 2023.1-lib, 2023.1-PLUMED-2.9.0, 2023.1
anvil: 8.2
bridges-2: 7.1-intel, 8.1-gcc10.2.0-openmpi4.0.5, ...
expanse: ub7xgkh-omp
faster: 8.2, 2023.1-CUDA-11.8.0"
cuda,"aces: 11.1.1, 11.3.1, 11.4.1, 11.7.0, 11.8.0, 12.0.0, 12.1.0, 12.1.1, 12.2.0, 12.2.2, 12.3.0, 12.3.2
anvil: 11.0.3, 11.2.2, 11.4.2, 12.0.1
bridges-2: 9.2.0, 10.0.0, 10.2.0, 11.7.1, 12.4.0
delta: 11.3.1, 11.7.0, 11.8.0.testing, 11.8.0, ...
expanse: blza2ps, ouuq5zm
faster: 10.1.243, 11.0.2, 11.1.1, 11.2.2, 11.3.1, 11.4.1, 11.4.2, 11.5.0, 11.6.0, 11.7.0, 11.8.0, 12.0.0, ..."
cuda-samples,"aces: 12.1-CUDA-12.1.1
faster: 12.1-CUDA-12.1.1"
cudacore,"aces: 11.1.1
faster: 11.0.2, 11.1.1, 11.4.1"
cunit,"aces: 2.1-3
faster: 2.1-3"
cartopy,"aces: 0.20.3, 0.22.0
faster: 0.20.0, 0.20.3, 0.22.0"
catch2,"aces: 3.4.0
faster: 2.13.9, 3.4.0"
chameleon,aces: 1.2.0
check,"aces: 0.15.2
faster: 0.15.2"
chimerax,"aces: 1.3, 1.6.1, 1.7.1
faster: 1.2.5, 1.4, 1.5, 1.6.1, 1.7"
